# timestamp_s tx ty tz qx qy qz qw
1.717159943180010639e+09 1.56444 1.21441 -0.26861 0.01218 0.01726 0.03626 0.99912
1.717159943270010425e+09 1.57370 1.22650 -0.27997 0.01206 0.01725 0.03624 0.99912
1.717159943380010434e+09 1.58759 1.24514 -0.29126 0.01182 0.01732 0.03635 0.99912
1.717159943470010441e+09 1.59297 1.25229 -0.29910 0.01148 0.01751 0.03642 0.99912
1.717159943580010451e+09 1.59729 1.25680 -0.30235 0.01108 0.01785 0.03648 0.99911
1.717159943680010459e+09 1.59705 1.25623 -0.30224 0.01073 0.01801 0.03656 0.99911
1.717159943770010466e+09 1.59079 1.25149 -0.29281 0.01042 0.01816 0.03662 0.99911
1.717159943880010475e+09 1.58212 1.23973 -0.27511 0.00986 0.01817 0.03662 0.99912
1.717159943970010483e+09 1.57484 1.22469 -0.25696 0.00948 0.01812 0.03663 0.99912
1.717159944080018930e+09 1.56388 1.20875 -0.23718 0.00925 0.01811 0.03662 0.99912
1.717159944180018938e+09 1.55012 1.20078 -0.22465 0.00902 0.01827 0.03674 0.99912
1.717159944270018945e+09 1.54019 1.19104 -0.21992 0.00875 0.01841 0.03687 0.99911
1.717159944380018954e+09 1.52880 1.18229 -0.22312 0.00854 0.01840 0.03699 0.99911
1.717159944470019184e+09 1.52089 1.17707 -0.23131 0.00829 0.01841 0.03712 0.99911
1.717159944580018971e+09 1.51261 1.17306 -0.24428 0.00802 0.01853 0.03724 0.99910
1.717159944680018979e+09 1.50740 1.17173 -0.25453 0.00784 0.01867 0.03742 0.99909
1.717159944770018987e+09 1.50005 1.17264 -0.26698 0.00758 0.01862 0.03743 0.99910
1.717159944880018996e+09 1.49890 1.16803 -0.27683 0.00738 0.01858 0.03764 0.99909
1.717159944970019003e+09 1.50028 1.16427 -0.28204 0.00738 0.01865 0.03769 0.99909
1.717159945080027450e+09 1.50892 1.15258 -0.28249 0.00732 0.01871 0.03782 0.99908
1.717159945180027458e+09 1.52292 1.14267 -0.28165 0.00735 0.01855 0.03805 0.99908
1.717159945270027466e+09 1.53804 1.13562 -0.27956 0.00745 0.01856 0.03823 0.99907
1.717159945380027253e+09 1.55989 1.13005 -0.27170 0.00765 0.01875 0.03852 0.99905
1.717159945470027482e+09 1.57292 1.12922 -0.26379 0.00777 0.01875 0.03880 0.99904
1.717159945570027269e+09 1.58188 1.13133 -0.25584 0.00745 0.01862 0.03914 0.99903
1.717159945680027500e+09 1.58641 1.14062 -0.24522 0.00683 0.01844 0.03942 0.99903
